,counties,index
598,"Carroll County, GA",925
599,"Fulton County, GA",448
600,"Fulton County, GA",1794
601,"Fulton County, GA",1930
602,"Jasper County, GA",914
603,"Rockdale County, GA",915
604,"Emanuel County, GA",1785
605,"Fulton County, GA",917
606,"Fulton County, GA",1356
607,"DeKalb County, GA",985
608,"Fulton County, GA",427
609,"Chatham County, GA",581
610,"Banks County, GA",505
611,"Rockdale County, GA",404
612,"Fulton County, GA",491
613,"DeKalb County, GA",481
614,"Gwinnett County, GA",181
615,"Cobb County, GA",1742
616,NA,1047
617,"Fulton County, GA",494
618,"DeKalb County, GA",1739
619,"Honolulu County, HI",524
620,NA,1220
621,NA,457
622,"Jefferson County, ID",1697
623,"Jefferson County, ID",1696
624,"Ada County, ID",1553
625,"Canyon County, ID",919
626,"Twin Falls County, ID",362
627,"Jefferson County, ID",1832
628,"Peoria County, IL",1577
629,"Cook County, IL",132
630,"Cook County, IL",1325
631,"Cook County, IL",1106
632,"Cook County, IL",1339
633,"Madison County, IL",1567
634,"Cook County, IL",1112
635,"Cook County, IL",1109
636,"Cook County, IL",732
637,"Lee County, IL",237
638,"Winnebago County, IL",1322
639,"Cook County, IL",1212
640,"Kane County, IL",922
641,"Cook County, IL",1107
642,"Cook County, IL",920
643,"Cook County, IL",1519
644,"McHenry County, IL",744
645,"Lake County, IL",120
646,"Cook County, IL",1464
647,"Cook County, IL",121
648,"Cook County, IL",125
649,"Sangamon County, IL",1067
650,"Rock Island County, IL",884
651,"Cook County, IL",831
652,"Cook County, IL",1447
653,"Cook County, IL",1446
654,"Madison County, IL",1443
655,"Cook County, IL",1248
656,"Cook County, IL",1247
657,"Cook County, IL",1246
658,"Cook County, IL",1424
659,"Cook County, IL",844
660,"Kankakee County, IL",88
661,"Cook County, IL",805
662,"Jackson County, IL",803
663,"Cook County, IL",203
664,"Cook County, IL",1273
665,"Cook County, IL",1224
666,"Cook County, IL",1520
667,"Cook County, IL",214
668,"Cook County, IL",761
669,"Peoria County, IL",763
670,"Cook County, IL",1226
671,"Cook County, IL",1547
672,"Cook County, IL",1028
673,NA,781
674,NA,1498
675,NA,1492
676,NA,1078
677,NA,1488
678,NA,1077
679,NA,1071
680,NA,896
681,NA,1438
682,NA,1150
683,NA,1596
684,NA,477
685,NA,284
686,NA,1695
687,NA,1888
688,NA,458
689,NA,624
690,NA,1901
691,NA,1680
692,NA,1914
693,NA,1678
694,NA,1918
695,NA,1743
696,NA,1944
697,NA,637
698,NA,1657
699,NA,1979
700,NA,358
701,NA,1873
702,NA,1856
703,NA,500
704,NA,1842
705,NA,1751
706,NA,576
707,NA,577
708,NA,578
709,NA,1764
710,NA,39
711,NA,1729
712,NA,1772
713,NA,345
714,NA,1725
715,NA,1778
716,NA,1779
717,NA,1593
718,NA,1808
719,NA,1707
720,NA,1833
721,NA,1838
722,NA,503
723,NA,1721
724,NA,2036
725,NA,573
726,NA,4
727,NA,67
728,NA,2038
729,NA,314
730,NA,1641
731,NA,2057
732,NA,662
733,NA,2046
734,NA,1636
735,NA,2061
736,"Cook County, IL",1638
737,"Coles County, IL",304
738,"Cook County, IL",65
739,"Cook County, IL",650
740,"Lake County, IN",779
741,"Lake County, IN",690
742,"Marion County, IN",1397
743,"Vanderburgh County, IN",55
744,"Lake County, IN",533
745,"Clark County, IN",1169
746,"Lake County, IN",443
747,"St. Joseph County, IN",1038
748,"Lake County, IN",1679
749,"LaPorte County, IN",3
750,"Lake County, IN",1682
751,"Jackson County, IN",1485
752,"Marion County, IN",1693
753,"Marion County, IN",1824
754,"Marion County, IN",1251
755,"Lake County, IN",771
756,"Marion County, IN",1377
757,"Bartholomew County, IN",6
758,"Marion County, IN",1405
759,"Marion County, IN",7
760,"St. Joseph County, IN",2021
761,"Lake County, IN",1755
762,"Lake County, IN",927
763,"Marion County, IN",926
764,"Monroe County, IN",2010
765,"Marion County, IN",376
766,"Marion County, IN",377
767,"St. Joseph County, IN",1041
768,"Warrick County, IN",683
769,"Lake County, IN",864
770,"Hamilton County, IN",232
771,"Montgomery County, IN",1323
772,"Lake County, IN",2062
773,"Wayne County, IN",163
774,"Morgan County, IN",529
775,"Marion County, IN",1514
776,"Lake County, IN",1766
777,"Vigo County, IN",1623
778,"Lake County, IN",962
779,"Lake County, IN",1195
780,"Polk County, IA",455
781,"Linn County, IA",350
782,"Scott County, IA",9
783,"Scott County, IA",1552
784,"Polk County, IA",1961
785,"Polk County, IA",431
786,"Winnebago County, IA",275
787,"Delaware County, IA",1024
788,"Wapello County, IA",1034
789,"Wapello County, IA",1670
790,"Scott County, IA",208
791,"Kossuth County, IA",470
792,"Clayton County, IA",827
793,"Polk County, IA",1313
794,"Butler County, IA",557
795,"Polk County, IA",2011
796,"Polk County, IA",205
797,"Shawnee County, KS",536
798,"Sedgwick County, KS",1798
799,"Finney County, KS",1635
800,"Wyandotte County, KS",1710
801,"Johnson County, KS",224
802,"Sedgwick County, KS",1295
803,"Johnson County, KS",155
804,"Geary County, KS",1080
805,"Butler County, KS",360
806,"Sedgwick County, KS",380
807,"Wyandotte County, KS",57
808,"Sedgwick County, KS",1726
809,"Johnson County, KS",1960
810,"Wyandotte County, KS",1156
811,"Johnson County, KS",1010
812,"Riley County, KS",92
813,"Johnson County, KS",142
814,"Shawnee County, KS",54
815,"Christian County, KY",1431
816,"Marshall County, KY",270
817,"Hardin County, KY",687
818,"Fayette County, KY",254
819,"Daviess County, KY",1775
820,"Fayette County, KY",1586
821,"Carter County, KY",830
822,"Fayette County, KY",1777
823,"Jefferson County, KY",1614
824,"Kenton County, KY",856
825,"Carter County, KY",1102
826,"Jefferson County, KY",176
827,"Jefferson County, KY",429
828,"Hardin County, KY",247
829,"Jefferson County, KY",1889
830,"Boone County, KY",1036
831,"Jefferson County, KY",1667
832,"Harlan County, KY",164
833,"Fayette County, KY",303
834,"Clark County, KY",1009
835,"Logan County, KY",1935
836,NA,955
837,"Jackson County, KY",1192
838,"Jefferson County, KY",1320
839,"Lafayette Parish, LA",388
840,"East Baton Rouge Parish, LA",326
841,"Lincoln Parish, LA",1234
842,"Orleans Parish, LA",1084
843,"Lafourche Parish, LA",559
844,"Caddo Parish, LA",154
845,"Caddo Parish, LA",19
846,"Tangipahoa Parish, LA",2043
847,"East Baton Rouge Parish, LA",1208
848,"Orleans Parish, LA",882
849,"Orleans Parish, LA",1408
850,"Caddo Parish, LA",549
851,"Ouachita Parish, LA",18
852,"Orleans Parish, LA",1362
853,"St. Tammany Parish, LA",1274
854,NA,1134
855,NA,1133
856,"Orleans Parish, LA",2059
857,"St. Tammany Parish, LA",1167
858,"St. Landry Parish, LA",29
859,NA,1128
860,"Iberia Parish, LA",1373
861,"East Feliciana Parish, LA",1317
862,"Caddo Parish, LA",1308
863,"East Baton Rouge Parish, LA",916
864,"Orleans Parish, LA",1164
865,"Ascension Parish, LA",1300
866,"Orleans Parish, LA",1139
867,"East Baton Rouge Parish, LA",462
868,"Orleans Parish, LA",272
869,"Calcasieu Parish, LA",319
870,NA,278
871,"Ouachita Parish, LA",1934
872,"Madison Parish, LA",450
873,"Caddo Parish, LA",1186
874,"Acadia Parish, LA",80
875,"Caddo Parish, LA",795
876,"Jefferson Parish, LA",617
877,"St. Charles Parish, LA",1479
878,"Union Parish, LA",809
879,"Calcasieu Parish, LA",766
880,"Orleans Parish, LA",841
881,"Ascension Parish, LA",1516
882,"St. Martin Parish, LA",791
883,"Orleans Parish, LA",1660
884,"Caddo Parish, LA",742
885,"Madison Parish, LA",609
886,NA,823
887,NA,754
888,"St. John the Baptist Parish, LA",748
889,"Orleans Parish, LA",822
890,NA,50
891,"St. Martin Parish, LA",1652
892,"Terrebonne Parish, LA",1733
893,"Orleans Parish, LA",780
894,"Orleans Parish, LA",79
895,"Ouachita Parish, LA",861
896,"Cumberland County, ME",1846
897,"Cumberland County, ME",1812
898,"Kennebec County, ME",420
899,NA,598
900,"Cumberland County, ME",476
901,"Baltimore City County, MD",1324
902,"Montgomery County, MD",1924
903,"Baltimore City County, MD",1275
904,"Baltimore City County, MD",1330
905,"Carroll County, MD",815
906,"Baltimore County, MD",1938
907,NA,436
908,"Prince George's County, MD",364
909,"Prince George's County, MD",75
910,"Baltimore City County, MD",1327
911,"Baltimore City County, MD",1525
912,"Baltimore City County, MD",1871
913,"Baltimore City County, MD",1521
914,"Baltimore City County, MD",1285
915,"Baltimore County, MD",172
916,"Baltimore City County, MD",774
917,NA,1298
918,NA,802
919,"Baltimore City County, MD",1478
920,"Frederick County, MD",413
921,"Prince George's County, MD",1045
922,"Baltimore City County, MD",192
923,NA,249
924,"Baltimore County, MD",787
925,"Prince George's County, MD",1949
926,"Prince George's County, MD",1964
927,"Baltimore City County, MD",872
928,"Montgomery County, MD",1927
929,"Baltimore City County, MD",1974
930,"Baltimore City County, MD",1321
931,"Baltimore City County, MD",1522
932,"Charles County, MD",406
933,"Harford County, MD",1369
934,"Baltimore City County, MD",1527
935,"Baltimore City County, MD",1205
936,"Baltimore City County, MD",1380
937,"Baltimore City County, MD",1207
938,"Baltimore City County, MD",855
939,"Baltimore City County, MD",1394
940,"Baltimore City County, MD",1344
941,"Baltimore City County, MD",842
942,"Baltimore City County, MD",147
943,"Anne Arundel County, MD",725
944,"Prince George's County, MD",1647
945,"Prince George's County, MD",838
946,"Baltimore City County, MD",669
947,"Baltimore City County, MD",1403
948,"Baltimore City County, MD",1803
949,"Prince George's County, MD",868
950,"Montgomery County, MD",1640
951,"Baltimore City County, MD",1357
952,"Baltimore City County, MD",1530
953,"Baltimore City County, MD",1531
954,"Prince George's County, MD",265
955,"Baltimore City County, MD",1532
956,"Baltimore County, MD",504
957,"Allegany County, MD",1451
958,"Baltimore City County, MD",97
959,"Harford County, MD",220
960,"Baltimore City County, MD",71
961,"Baltimore County, MD",1815
962,"Howard County, MD",1704
963,"Bristol County, MA",1089
964,"Suffolk County, MA",816
965,NA,1407
966,"Essex County, MA",777
